generation,avg_pre_learn_reward,avg_post_learn_reward,avg_gain,avg_agreement,avg_entropy
21,0.7531632602214813,0.7607397943735122,0.0075765341520309445,0.8559090909090911,0.10327819623058303
22,0.7625765293836594,0.5708418279886246,-0.1917347013950348,0.7113636363636363,0.18879152822600623
23,0.5692346900701523,0.755229577422142,0.18599488735198974,0.8204545454545453,0.1594738608719438
24,0.6639540731906891,0.7082142889499664,0.04426021575927734,0.797070707070707,0.15369388440615936
25,0.6183163225650787,0.7593622356653214,0.14104591310024261,0.7686363636363637,0.11500241887226519
26,0.8056887686252594,0.8047704100608826,-0.0009183585643768311,0.8108080808080806,0.04828818610609536
27,0.759591817855835,0.7137244790792465,-0.04586733877658844,0.7916161616161616,0.06268645081881762
28,0.755918362736702,0.6148724436759949,-0.1410459190607071,0.777070707070707,0.12596691058458456
29,0.7123469322919845,0.6162500023841858,-0.09609692990779876,0.8153535353535354,0.04214480957531832
30,0.7570663213729858,0.8997193783521652,0.14265305697917938,0.8007070707070708,0.08535908557635603
31,0.8545408010482788,0.8976530581712723,0.04311225712299347,0.8693434343434342,0.08643978829863562
32,0.8568367272615433,0.8102806091308594,-0.0465561181306839,0.8089898989898989,0.07416134527149042
33,0.7609693795442581,0.5694642752408982,-0.19150510430335999,0.8251515151515152,0.050320906613255834
34,0.8556887745857239,0.8070663154125214,-0.048622459173202515,0.8726262626262626,0.08838430907145911
35,0.7510969281196594,0.7572959035634994,0.006198975443840027,0.7827272727272728,0.10931004673227704
36,0.8029336571693421,0.8967346876859665,0.09380103051662445,0.8095959595959595,0.07822855544109196
37,0.8506377428770066,0.8045408070087433,-0.046096935868263245,0.7805050505050505,0.0710635920727196
38,0.9407652884721756,0.8056887626647949,-0.13507652580738067,0.8072727272727273,0.06807610627397656
39,0.5671683609485626,0.7561479538679123,0.18897959291934968,0.8064141414141414,0.052077490800687645
40,0.9458163201808929,0.9020152986049652,-0.04380102157592773,0.8441414141414141,0.048666048689857536
41,0.7531632632017136,0.8506377547979355,0.09747449159622193,0.8657070707070706,0.1522117439743587
42,0.9008673429489136,0.8515561163425446,-0.04931122660636902,0.8876262626262627,0.062223315128804656
43,0.8517857134342194,0.8985714346170426,0.04678572118282318,0.8922727272727273,0.12985211513295206
44,0.8983418375253678,0.85224489569664,-0.04609694182872772,0.8568181818181818,0.03413071655034435
45,0.9024744868278504,0.8527040868997574,-0.04977039992809296,0.860909090909091,0.028670190876858716
46,0.8545408129692078,0.8077550947666168,-0.04678571820259094,0.8245454545454545,0.03637524365579892
47,0.8554591774940491,0.7572959154844284,-0.09816326200962067,0.8463636363636363,0.10003089442836158
48,0.8052295804023742,0.8561479568481445,0.05091837644577026,0.7554545454545455,0.03705445535165308
49,0.9499489814043045,0.8556887686252594,-0.0942602127790451,0.835,0.035570350512084174
50,0.8054591804742813,0.8033928513526917,-0.0020663291215896606,0.8122727272727273,0.11955558378110305
51,0.807525509595871,0.9517857164144516,0.14426020681858062,0.8768181818181817,0.06226604087060141
52,0.9024744838476181,0.8082142829895019,-0.09426020085811615,0.7795454545454545,0.05678377545807787
53,0.9494897961616516,0.8527040749788284,-0.09678572118282318,0.8181818181818181,0.04723623467277334
54,0.855918362736702,0.8089030593633652,-0.04701530337333679,0.8300000000000001,0.03001700991882971
55,0.7116581559181213,0.9004081606864929,0.1887500047683716,0.8658080808080808,0.05879443919608505
56,0.8570663303136825,0.8508673399686814,-0.006198990345001221,0.7704545454545455,0.03771404489166642
57,0.9499489694833756,0.8543112277984619,-0.09563774168491364,0.871818181818182,0.04752630569614036
58,0.7609693825244903,0.758673471212387,-0.0022959113121032715,0.8568181818181818,0.06979682970697523
