reference_gen,target_gen,target_phase,env_num,agreement
59,50,before,6,1.0
59,50,before,7,1.0
59,50,before,8,0.50390625
59,50,before,9,1.0
59,50,after,0,0.9090909090909091
59,50,after,1,1.0
59,50,after,2,1.0
59,50,after,3,0.9090909090909091
59,50,after,4,1.0
59,50,after,5,1.0
59,50,after,6,1.0
59,50,after,7,0.9090909090909091
59,50,after,8,0.5078125
59,50,after,9,1.0
59,55,before,0,1.0
59,55,before,1,0.9
59,55,before,2,0.8888888888888888
59,55,before,3,0.9090909090909091
59,55,before,4,0.9
59,55,before,5,0.9
59,55,before,6,1.0
59,55,before,7,0.9090909090909091
59,55,before,8,0.50390625
59,55,before,9,1.0
59,55,after,0,1.0
59,55,after,1,1.0
59,55,after,2,1.0
59,55,after,3,1.0
59,55,after,4,1.0
59,55,after,5,1.0
59,55,after,6,0.9090909090909091
59,55,after,7,1.0
59,55,after,8,0.50390625
59,55,after,9,1.0
59,59,before,0,0.9090909090909091
59,59,before,1,1.0
59,59,before,2,1.0
59,59,before,3,1.0
59,59,before,4,1.0
59,59,before,5,1.0
59,59,before,6,0.9090909090909091
59,59,before,7,1.0
59,59,before,8,1.0
59,59,before,9,1.0
59,59,after,0,1.0
59,59,after,1,1.0
59,59,after,2,1.0
59,59,after,3,1.0
59,59,after,4,1.0
59,59,after,5,1.0
59,59,after,6,1.0
59,59,after,7,1.0
59,59,after,8,1.0
59,59,after,9,1.0
